Topic,Macro,Macro_Label
-1,-1,Outliers / Unassigned
0,0,Clinical Management & Therapeutics
1,0,Clinical Management & Therapeutics
2,2,Gastric Carcinogenesis & Pathology
3,2,Gastric Carcinogenesis & Pathology
4,0,Clinical Management & Therapeutics
5,3,Systemic Health & Population Epidemiology
6,1,Molecular Pathogenesis & Host-Microbe Interactions
7,1,Molecular Pathogenesis & Host-Microbe Interactions
8,4,"AI, Digital Health & Multi-omics Frontiers"
9,0,Clinical Management & Therapeutics
10,0,Clinical Management & Therapeutics
11,2,Gastric Carcinogenesis & Pathology
12,0,Clinical Management & Therapeutics
13,0,Clinical Management & Therapeutics
14,0,Clinical Management & Therapeutics
15,2,Gastric Carcinogenesis & Pathology
16,0,Clinical Management & Therapeutics
17,2,Gastric Carcinogenesis & Pathology
18,1,Molecular Pathogenesis & Host-Microbe Interactions
19,0,Clinical Management & Therapeutics
20,0,Clinical Management & Therapeutics
21,3,Systemic Health & Population Epidemiology
22,2,Gastric Carcinogenesis & Pathology
23,1,Molecular Pathogenesis & Host-Microbe Interactions
24,0,Clinical Management & Therapeutics
25,1,Molecular Pathogenesis & Host-Microbe Interactions
26,0,Clinical Management & Therapeutics
27,2,Gastric Carcinogenesis & Pathology
28,3,Systemic Health & Population Epidemiology
29,0,Clinical Management & Therapeutics
30,0,Clinical Management & Therapeutics
31,1,Molecular Pathogenesis & Host-Microbe Interactions
32,2,Gastric Carcinogenesis & Pathology
33,0,Clinical Management & Therapeutics
34,0,Clinical Management & Therapeutics
35,0,Clinical Management & Therapeutics
36,0,Clinical Management & Therapeutics
37,3,Systemic Health & Population Epidemiology
38,0,Clinical Management & Therapeutics
39,0,Clinical Management & Therapeutics
40,1,Molecular Pathogenesis & Host-Microbe Interactions
41,0,Clinical Management & Therapeutics
42,3,Systemic Health & Population Epidemiology
43,3,Systemic Health & Population Epidemiology
44,1,Molecular Pathogenesis & Host-Microbe Interactions
45,3,Systemic Health & Population Epidemiology
46,4,"AI, Digital Health & Multi-omics Frontiers"
47,1,Molecular Pathogenesis & Host-Microbe Interactions
48,4,"AI, Digital Health & Multi-omics Frontiers"
49,2,Gastric Carcinogenesis & Pathology
50,0,Clinical Management & Therapeutics
51,1,Molecular Pathogenesis & Host-Microbe Interactions
52,1,Molecular Pathogenesis & Host-Microbe Interactions
53,2,Gastric Carcinogenesis & Pathology
54,1,Molecular Pathogenesis & Host-Microbe Interactions
55,3,Systemic Health & Population Epidemiology
56,1,Molecular Pathogenesis & Host-Microbe Interactions
57,1,Molecular Pathogenesis & Host-Microbe Interactions
58,1,Molecular Pathogenesis & Host-Microbe Interactions
59,1,Molecular Pathogenesis & Host-Microbe Interactions
60,3,Systemic Health & Population Epidemiology
61,1,Molecular Pathogenesis & Host-Microbe Interactions
62,3,Systemic Health & Population Epidemiology
63,3,Systemic Health & Population Epidemiology
64,0,Clinical Management & Therapeutics
65,3,Systemic Health & Population Epidemiology
66,3,Systemic Health & Population Epidemiology
67,4,"AI, Digital Health & Multi-omics Frontiers"
68,1,Molecular Pathogenesis & Host-Microbe Interactions
69,0,Clinical Management & Therapeutics
70,0,Clinical Management & Therapeutics
71,4,"AI, Digital Health & Multi-omics Frontiers"
72,3,Systemic Health & Population Epidemiology
73,2,Gastric Carcinogenesis & Pathology
74,1,Molecular Pathogenesis & Host-Microbe Interactions
75,0,Clinical Management & Therapeutics
76,3,Systemic Health & Population Epidemiology
77,0,Clinical Management & Therapeutics
78,3,Systemic Health & Population Epidemiology
79,3,Systemic Health & Population Epidemiology
80,0,Clinical Management & Therapeutics
81,2,Gastric Carcinogenesis & Pathology
82,3,Systemic Health & Population Epidemiology
83,3,Systemic Health & Population Epidemiology
84,0,Clinical Management & Therapeutics
85,2,Gastric Carcinogenesis & Pathology
86,0,Clinical Management & Therapeutics
87,3,Systemic Health & Population Epidemiology
88,1,Molecular Pathogenesis & Host-Microbe Interactions
89,4,"AI, Digital Health & Multi-omics Frontiers"
90,4,"AI, Digital Health & Multi-omics Frontiers"
91,0,Clinical Management & Therapeutics
92,3,Systemic Health & Population Epidemiology
93,0,Clinical Management & Therapeutics
94,0,Clinical Management & Therapeutics
95,3,Systemic Health & Population Epidemiology
96,0,Clinical Management & Therapeutics
97,0,Clinical Management & Therapeutics
98,3,Systemic Health & Population Epidemiology
99,1,Molecular Pathogenesis & Host-Microbe Interactions
100,3,Systemic Health & Population Epidemiology
101,3,Systemic Health & Population Epidemiology
102,1,Molecular Pathogenesis & Host-Microbe Interactions
103,4,"AI, Digital Health & Multi-omics Frontiers"
104,4,"AI, Digital Health & Multi-omics Frontiers"
105,3,Systemic Health & Population Epidemiology
106,1,Molecular Pathogenesis & Host-Microbe Interactions
107,0,Clinical Management & Therapeutics
108,0,Clinical Management & Therapeutics
109,3,Systemic Health & Population Epidemiology
110,1,Molecular Pathogenesis & Host-Microbe Interactions
111,0,Clinical Management & Therapeutics
112,0,Clinical Management & Therapeutics
113,0,Clinical Management & Therapeutics
114,3,Systemic Health & Population Epidemiology
115,2,Gastric Carcinogenesis & Pathology
116,0,Clinical Management & Therapeutics
117,3,Systemic Health & Population Epidemiology
118,4,"AI, Digital Health & Multi-omics Frontiers"
119,3,Systemic Health & Population Epidemiology
120,1,Molecular Pathogenesis & Host-Microbe Interactions
121,0,Clinical Management & Therapeutics
122,3,Systemic Health & Population Epidemiology
123,3,Systemic Health & Population Epidemiology
124,0,Clinical Management & Therapeutics
125,1,Molecular Pathogenesis & Host-Microbe Interactions
126,1,Molecular Pathogenesis & Host-Microbe Interactions
127,3,Systemic Health & Population Epidemiology
128,0,Clinical Management & Therapeutics
129,2,Gastric Carcinogenesis & Pathology
130,0,Clinical Management & Therapeutics
131,2,Gastric Carcinogenesis & Pathology
132,0,Clinical Management & Therapeutics
133,0,Clinical Management & Therapeutics
134,0,Clinical Management & Therapeutics
135,0,Clinical Management & Therapeutics
136,3,Systemic Health & Population Epidemiology
137,0,Clinical Management & Therapeutics
138,2,Gastric Carcinogenesis & Pathology
139,1,Molecular Pathogenesis & Host-Microbe Interactions
140,3,Systemic Health & Population Epidemiology
141,3,Systemic Health & Population Epidemiology
142,1,Molecular Pathogenesis & Host-Microbe Interactions
143,3,Systemic Health & Population Epidemiology
144,2,Gastric Carcinogenesis & Pathology
145,0,Clinical Management & Therapeutics
146,2,Gastric Carcinogenesis & Pathology
147,0,Clinical Management & Therapeutics
148,3,Systemic Health & Population Epidemiology
149,1,Molecular Pathogenesis & Host-Microbe Interactions
150,0,Clinical Management & Therapeutics
151,1,Molecular Pathogenesis & Host-Microbe Interactions
152,1,Molecular Pathogenesis & Host-Microbe Interactions
153,0,Clinical Management & Therapeutics
154,1,Molecular Pathogenesis & Host-Microbe Interactions
155,2,Gastric Carcinogenesis & Pathology
156,0,Clinical Management & Therapeutics
