Topic,Macro
2,0
9,0
10,0
19,0
20,0
21,0
24,0
25,0
29,0
35,0
37,0
41,0
43,0
44,0
46,0
50,0
57,0
58,0
69,0
75,0
90,0
98,0
100,0
101,0
103,0
104,0
112,0
115,0
3,1
8,1
18,1
22,1
27,1
28,1
30,1
31,1
34,1
36,1
48,1
49,1
53,1
56,1
59,1
60,1
63,1
65,1
66,1
67,1
72,1
73,1
74,1
78,1
80,1
81,1
82,1
85,1
87,1
91,1
93,1
95,1
102,1
109,1
111,1
113,1
114,1
116,1
4,2
5,2
6,2
7,2
11,2
13,2
15,2
16,2
26,2
33,2
38,2
40,2
42,2
45,2
47,2
51,2
52,2
54,2
62,2
64,2
70,2
71,2
76,2
77,2
84,2
86,2
88,2
94,2
96,2
97,2
107,2
108,2
110,2
55,3
83,3
106,3
0,4
1,4
12,4
14,4
17,4
23,4
32,4
39,4
61,4
68,4
79,4
89,4
92,4
99,4
105,4
